rok;kandidatni_strana;poradove_cislo;jmeno;vek;navrhujici_strana;politika_prislusnost;pocet_hlasu_abs;pocet_hlasu_perc;poradi_zvol_nahradnika;mandat
2002;"NEZÁVISLÍ";21;"Nekovařík Jaromír  ";40;"NEZ";"NEZ";770;2.30;"";""
2002;"Naděje";32;"Prudičová Blanka  ";55;"N";"BEZPP";634;2.12;"";""
2006;"Komunistická str.Čech a Moravy";13;"Kubínek Jaroslav Ing.";66;"KSČM";"KSČM";2893;2.58;9;""
2006;"Koal.pro Pard.,KDU-ČSL+Nestran";9;"Peřinová Drahomíra MUDr.";53;"Nestran.";"BEZPP";2143;4.12;1;*
2014;"PARDUBÁCI,Sdružení ČSR, NK";34;"Palečková Lucie";35;"ČSR";"BEZPP";1331;2.14;31;""
2002;"NEZÁVISLÍ";36;"Hanzlíček Miroslav  ";49;"NEZ";"BEZPP";560;1.67;"";""
2006;"Občanská demokratická strana";15;"Mede Alfréd Ing.";48;"ODS";"ODS";9748;2.62;15;*
2010;"TOP 09 a nezávislí";10;"Bayer David MUDr.";40;"TOP 09";"TOP 09";2366;3.08;4;""
2018;"ANO 2011";13;"Petr Filip Mgr.";41;"ANO";"ANO";6907;2.66;13;*
2002;"Sdružení pro Pardubice";21;"Kubrycht Martin Mgr. ";49;"NK";"BEZPP";3620;2.45;14;""
2014;"ANO 2011";31;"Tvrdík Michal";35;"ANO";"ANO";4509;2.43;20;""
2006;"Občanská demokratická strana";23;"Hrochová Petra";20;"ODS";"ODS";9509;2.55;8;""
2018;"PRO Zdraví a Sport";24;"Hofinger Milan";24;"PRO Zdraví";"BEZPP";128;1.89;"";""
2010;"Občanská demokratická strana";19;"Janoš Jiří Ing.";49;"ODS";"ODS";4214;2.59;13;""
2014;"Koal. pro Pard., KDU-ČSL,NESTR";19;"Petráš Jiří Ing. Ph.D.";48;"KDU-ČSL";"BEZPP";1091;2.49;18;""
2006;"Sdružení pro Pardubice";16;"Táborský Pavel Ing.";48;"NK";"BEZPP";4619;2.47;8;""
2002;"Strana za životní jistoty";5;"Malý Jiří Ing. ";66;"SŽJ";"SŽJ";196;5.67;"";""
2010;"Česká str.sociálně demokrat.";13;"Malý Libor Mgr.";49;"ČSSD";"ČSSD";6149;2.66;2;""
2010;"PERNŠTEJN -pol.str.ALTERNATIVA";11;"Fuchsa Jaroslav";43;"ALTER";"BEZPP";470;3.44;"";""
2014;"Komunistická str.Čech a Moravy";39;"Šumpich Jiří";71;"KSČM";"KSČM";1659;2.21;35;""
2018;"ČSSD a nestran. pro Pardubice";16;"Tauber Jindřich Mgr.";43;"ČSSD";"ČSSD";1444;2.54;14;""
2014;"Svobodní, Strana svobod.občanů";19;"Beneš Radek";32;"Svobodní";"BEZPP";734;2.41;"";""
2010;"Věci veřejné (VV)";1;"Suchánek Zdeněk";52;"VV";"VV";1259;4.44;"";""
2014;"DOMOV";1;"Topolský Jiří";51;"BPI";"BEZPP";319;4.72;"";""
2010;"Věci veřejné (VV)";5;"Houdek Roman Ing.";38;"VV";"BEZPP";1106;3.90;"";""
2002;"Sdružení pro Pardubice";1;"Petráň Miroslav Ing. arch. ";51;"NK";"BEZPP";6325;4.29;2;*
2010;"Komunistická str.Čech a Moravy";23;"Hostinský Josef";62;"KSČM";"BEZPP";2597;2.52;19;""
2006;"Občanská demokratická strana";36;"Mádl Pavel Mgr. Ing.";61;"ODS";"ODS";8619;2.31;21;""
2018;"Pardubice pro lidi";39;"Klimpl Zdeněk Mgr.";65;"PPL";"BEZPP";832;2.06;"";""
2010;"TOP 09 a nezávislí";16;"Donátová Jitka";60;"TOP 09";"BEZPP";1799;2.34;14;""
2010;"Koalice pro Pardubice";25;"Traxler Ladislav Mgr. Ing.";62;"KDU-ČSL";"BEZPP";1023;2.24;"";""
