rok;okrsek;strana;pocet_hlasu_abs;pocet_hlasu_perc
2014;1003;DOMOV;26;0.32
2002;32;Unie svobody-Demokratická unie;321;2.73
2018;1015;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;7;0.07
2014;2008;ZEMANOVCI, Sdružení SPO, NK;7;0.08
2010;47;Česká str.sociálně demokrat.;2595;18.35
2010;84;Věci veřejné (VV);124;3.10
2014;4003;Česká str.sociálně demokrat.;2111;16.57
2006;75;Česká str.sociálně demokrat.;1514;18.43
2006;40;Koal.pro Pard.,KDU-ČSL+Nestran;260;2.64
2014;7002;Svobodní, Strana svobod.občanů;643;5.23
2018;3007;NAŠE PARDUBICE;729;5.63
2006;91;Koruna Česká (monarch.strana);0;0.00
2014;7003;Sdružení pro Pard. - SNK ED,NK;3106;14.03
2010;72;PERNŠTEJN -pol.str.ALTERNATIVA;148;0.96
2014;2013;Občanská demokratická strana;1110;10.79
2010;67;Občanská demokratická strana;2248;18.08
2018;3014;Pardubáci společně;1971;12.31
2002;8;Komunistická str.Čech a Moravy;158;4.93
2014;1015;Občanská demokratická strana;1083;11.11
2014;5009;Koal. pro Pard., KDU-ČSL,NESTR;270;2.83
2014;2019;Občanská demokratická strana;616;8.11
2018;3014;Koalice pro Pardubice;1386;8.65
2014;1009;Svobodní, Strana svobod.občanů;351;4.42
2002;32;Sdružení pro Pardubice;2225;18.94
2018;1004;NAŠE PARDUBICE;498;5.45
2018;5010;JAUNER Československo 2018;0;0.00
2018;1013;Koalice pro Pardubice;811;7.79
2010;62;SDRUŽENÍ PRO PARDUBICE;1542;15.18
2014;5012;DOMOV;53;0.70
2006;30;Občanská demokratická strana;4732;35.45
2010;33;Česká str.sociálně demokrat.;2175;22.36
2014;1014;PATRIOTI PARDUBIC, PATRIOTI,NK;478;8.42
2014;5006;Naše Pardubice, FairPlay,NK;130;1.37
2006;3;Zelená pro Pardubice;1053;10.33
2018;3008;NAŠE PARDUBICE;616;5.53
2006;6;Česká str.sociálně demokrat.;1239;10.56
2014;7001;Strana zelených;539;3.38
2010;24;Strana Práv Občanů ZEMANOVCI;208;2.18
2018;3012;Pardubice pro lidi;408;2.82
2010;56;Strana Práv Občanů ZEMANOVCI;154;1.80
2018;5017;ANO 2011;3061;22.02
2006;91;Komunistická str.Čech a Moravy;354;16.92
2014;1016;Pard. pro lidi a Souk SsČR,PPL;46;0.69
2002;86;Komunistická str.Čech a Moravy;1480;9.61
2002;87;Unie svobody-Demokratická unie;389;3.84
2018;1021;Pardubáci společně;1127;9.62
2002;91;Sdružení pro Pardubice;617;21.93
2014;2001;Strana zelených;183;1.75
2010;36;Věci veřejné (VV);411;3.55
2014;2012;Naše Pardubice, FairPlay,NK;252;2.91
2002;23;Sdružení pro Pardubice;1041;14.70
2018;5009;Svob.a př.dem.-T.Okamura (SPD);103;1.02
2018;7002;Koalice pro Pardubice;1229;8.06
2014;4002;Pard. pro lidi a Souk SsČR,PPL;324;3.14
2002;27;Komunistická str.Čech a Moravy;675;7.04
2010;7;PERNŠTEJN -pol.str.ALTERNATIVA;79;0.82
2018;3005;ČSSD a nestran. pro Pardubice;392;2.46
2010;30;Koalice pro Pardubice;569;4.89
2014;3001;Sdružení pro Pard. - SNK ED,NK;478;7.05
2014;1015;Komunistická str.Čech a Moravy;901;9.24
2014;2011;Úsvit přímé demokracie;224;3.26
2014;1012;Pard. pro lidi a Souk SsČR,PPL;38;0.39
2006;55;Občanská demokratická strana;4978;37.77
2002;2;Křesť.demokr.unie-Čs.str.lid.;504;5.50
2014;2014;Svobodní, Strana svobod.občanů;327;4.39
2018;8001;NAŠE PARDUBICE;122;3.65
2018;1002;ČSSD a nestran. pro Pardubice;148;1.95
2014;1008;Naše Pardubice, FairPlay,NK;93;1.46
2014;7002;NEZÁVISLÍ;63;0.51
2018;3002;NAŠE PARDUBICE;702;7.76
2014;3007;Strana zelených;290;2.48
2018;1005;Svob.a př.dem.-T.Okamura (SPD);287;3.93
2014;6001;Naše Pardubice, FairPlay,NK;242;1.61
2018;1015;Koalice pro Pardubice;679;6.47
2010;34;Koalice pro Pardubice;201;2.46
2010;32;Česká str.sociálně demokrat.;3211;33.91
2010;50;Suverenita-blok J.Bobošíkové;301;2.80
2002;11;Strana za životní jistoty;30;0.23
2010;82;TOP 09 a nezávislí;1035;7.72
2018;7003;Sdružení pro Pardubice;2119;8.91
2010;32;PARDUBÁCI;790;8.34
2014;2015;Občanská demokratická strana;729;7.70
2018;3012;Sdružení pro Pardubice;684;4.73
2018;4001;Koalice pro Pardubice;1971;8.20
2014;2009;Koal. pro Pard., KDU-ČSL,NESTR;539;7.51
2014;3003;Koal. pro Pard., KDU-ČSL,NESTR;448;6.49
2006;82;Zelená pro Pardubice;1108;9.96
2014;3014;DOMOV;20;0.15
2014;2010;PARDUBÁCI,Sdružení ČSR, NK;598;7.23
2018;5007;Strana soukromníků ČR;13;0.14
2018;1008;Strana soukromníků ČR;50;0.72
2002;50;Strana za životní jistoty;15;0.17
2014;3007;Úsvit přímé demokracie;390;3.34
2014;5002;TOP 09 a nezávislí;358;4.52
2018;7004;Pardubáci společně;577;7.88
2014;2016;Úsvit přímé demokracie;189;1.97
2002;33;Strana za životní jistoty;49;0.46
2010;29;Občanská demokratická strana;2280;18.23
2002;91;Občanská demokratická strana;378;13.43
2018;2007;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;5;0.06
2014;2006;Naše Pardubice, FairPlay,NK;191;1.92
2014;7005;NEZÁVISLÍ;130;1.47
2002;63;Sdružení pro Pardubice;855;9.51
2002;56;Strana za životní jistoty;7;0.09
2010;7;Suverenita-blok J.Bobošíkové;168;1.74
2014;1017;Pard. pro lidi a Souk SsČR,PPL;50;0.84
2006;80;Koal.pro Pard.,KDU-ČSL+Nestran;469;4.39
2014;3010;Úsvit přímé demokracie;202;1.75
2018;3005;Pardubice pro lidi;323;2.03
2018;5002;Pardubáci společně;706;7.21
2006;62;Zelená pro Pardubice;1253;11.79
2018;6005;Koalice pro Pardubice;262;5.80
2006;61;Česká str.sociálně demokrat.;1852;15.98
2002;75;Unie svobody-Demokratická unie;281;3.10
2002;65;Sdružení pro Pardubice;1769;20.08
2014;1015;TOP 09 a nezávislí;1044;10.71
2014;6004;NEZÁVISLÍ;237;1.94
2002;60;Česká str.sociálně demokrat.;746;12.20
2010;43;SDRUŽENÍ PRO PARDUBICE;2636;19.82
2002;4;Strana za životní jistoty;43;0.41
2014;3001;Svobodní, Strana svobod.občanů;101;1.49
2010;67;PERNŠTEJN -pol.str.ALTERNATIVA;136;1.09
2002;62;Naděje;573;5.70
2002;13;Občanská demokratická strana;3764;35.66
2006;58;Koal.pro Pard.,KDU-ČSL+Nestran;907;8.53
2014;5011;NEZÁVISLÍ;157;1.41
2018;1022;Svob.a př.dem.-T.Okamura (SPD);551;4.87
2014;1002;Sdružení pro Pard. - SNK ED,NK;716;9.86
2010;18;PARDUBÁCI;1897;13.83
2002;21;Občanská demokratická strana;4085;36.14
2002;67;Sdružení pro Pardubice;1469;11.33
2018;5006;NAŠE PARDUBICE;301;3.12
2014;7004;TOP 09 a nezávislí;260;3.60
2018;5007;Občanská demokratická strana;1011;11.04
2018;5012;JAUNER Československo 2018;0;0.00
2002;7;Pravý Blok;22;0.19
2006;62;Občanská demokratická strana;4518;42.52
2010;15;Občanská demokratická strana;1864;15.22
2002;4;Komunistická str.Čech a Moravy;2190;20.87
2010;66;Zelená pro Pardubice (SZ, NK);137;1.13
2014;2011;PATRIOTI PARDUBIC, PATRIOTI,NK;74;1.08
2018;1008;Pardubice pro lidi;84;1.21
2002;17;Strana za životní jistoty;18;0.19
2006;58;Občanská demokratická strana;4448;41.81
2006;11;Občanská demokratická strana;4402;34.50
2010;2;TOP 09 a nezávislí;1003;10.48
2002;73;Česká str.sociálně demokrat.;1405;14.28
2014;1021;ZEMANOVCI, Sdružení SPO, NK;58;0.55
2010;19;Strana Práv Občanů ZEMANOVCI;314;2.80
2010;56;Zelená pro Pardubice (SZ, NK);529;6.18
2018;5005;Česká pirátská strana;1538;15.36
2018;2014;NAŠE PARDUBICE;419;4.91
2002;73;Občanská demokratická strana;3866;39.29
2002;71;Unie svobody-Demokratická unie;485;3.90
2010;4;PERNŠTEJN -pol.str.ALTERNATIVA;211;1.99
2002;50;Pravý Blok;3;0.03
2014;3010;PATRIOTI PARDUBIC, PATRIOTI,NK;633;5.50
2010;73;Česká str.sociálně demokrat.;2452;23.43
2014;2012;Strana zelených;209;2.42
2010;66;Komunistická str.Čech a Moravy;1102;9.05
2014;1020;Pard. pro lidi a Souk SsČR,PPL;205;2.75
2006;60;NEZ.DEMOKRATÉ(předs.V.Železný);27;0.42
2006;89;Česká str.sociálně demokrat.;1593;19.68
2002;88;Sdružení pro Pardubice;4104;28.25
2002;30;Strana za životní jistoty;109;0.80
2014;3006;Občanská demokratická strana;1276;10.95
2014;5007;Sdružení pro Pard. - SNK ED,NK;903;10.75
2002;89;Sdružení pro Pardubice;1574;17.72
2006;39;Komunistická str.Čech a Moravy;1378;6.61
2018;2007;Česká pirátská strana;1069;12.66
2010;1;PARDUBÁCI;2338;20.84
2014;1018;Koal. pro Pard., KDU-ČSL,NESTR;721;6.23
2002;48;NEZÁVISLÍ;601;4.82
2014;3002;ANO 2011;1832;21.95
2010;61;Volte Pr.Blok www.cibulka.net;21;0.16
2010;5;Koalice pro Pardubice;246;2.99
2014;1012;Strana zelených;238;2.44
2010;41;Zelená pro Pardubice (SZ, NK);107;0.99
2014;7006;ANO 2011;516;20.73
2014;1022;Česká str.sociálně demokrat.;1315;11.81
2018;5013;Pardubáci společně;750;11.34
2014;5002;NEZÁVISLÍ;26;0.33
2018;3007;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;15;0.12
2010;5;Zelená pro Pardubice (SZ, NK);182;2.21
2014;3013;Česká str.sociálně demokrat.;1263;9.62
2002;16;NEZÁVISLÍ;218;2.97
2006;40;NEZ.DEMOKRATÉ(předs.V.Železný);6;0.06
2018;1005;Komunistická str.Čech a Moravy;322;4.41
2014;3002;NEZÁVISLÍ;67;0.80
2010;88;Koalice pro Pardubice;497;2.45
2006;34;Sdružení pro Pardubice;1190;13.23
2002;79;Naděje;278;4.73
2014;3006;Sdružení pro Pard. - SNK ED,NK;1174;10.08
2014;5002;Česká str.sociálně demokrat.;664;8.39
2014;7003;PATRIOTI PARDUBIC, PATRIOTI,NK;1259;5.69
2010;21;Koalice pro Pardubice;630;5.03
2010;44;Zelená pro Pardubice (SZ, NK);147;1.34
2014;5007;TOP 09 a nezávislí;319;3.80
2018;2008;Sdružení pro Pardubice;428;4.67
2010;56;Volte Pr.Blok www.cibulka.net;37;0.43
2014;2019;Svobodní, Strana svobod.občanů;235;3.09
2018;2014;Česká pirátská strana;601;7.04
2018;2018;Strana soukromníků ČR;15;0.15
2018;7003;Svob.a př.dem.-T.Okamura (SPD);474;1.99
2002;39;Česká str.sociálně demokrat.;2326;11.34
2010;35;PERNŠTEJN -pol.str.ALTERNATIVA;65;0.84
2002;21;Česká str.sociálně demokrat.;1615;14.29
2006;55;Komunistická str.Čech a Moravy;871;6.61
2018;7005;ANO 2011;3377;29.58
2006;16;Zelená pro Pardubice;596;8.15
2010;64;Koalice pro Pardubice;232;3.05
2002;24;Naděje;327;3.73
2002;29;Křesť.demokr.unie-Čs.str.lid.;621;4.44
2018;3013;Pardubice pro lidi;325;2.34
2014;2004;Občanská demokratická strana;880;10.39
2014;5011;Svobodní, Strana svobod.občanů;461;4.15
2014;5008;Svobodní, Strana svobod.občanů;325;3.49
2002;44;Občanská demokratická strana;4252;37.90
2010;58;Česká str.sociálně demokrat.;1626;14.25
2014;7001;Koal. pro Pard., KDU-ČSL,NESTR;930;5.82
2002;81;Občanská demokratická strana;5367;34.00
2002;86;Unie svobody-Demokratická unie;742;4.82
2014;5011;PATRIOTI PARDUBIC, PATRIOTI,NK;398;3.59
2018;2003;Česká pirátská strana;1059;11.24
2014;6005;TOP 09 a nezávislí;442;12.05
2002;65;Pravý Blok;30;0.34
2018;1016;Pardubáci společně;1038;13.57
2018;1010;Svob.a př.dem.-T.Okamura (SPD);527;5.96
2014;6001;TOP 09 a nezávislí;721;4.80
2010;47;PARDUBÁCI;1501;10.61
2006;34;Česká str.sociálně demokrat.;2380;26.45
2006;64;Zelená pro Pardubice;765;9.16
2018;2015;NAŠE PARDUBICE;459;4.20
2006;44;NEZ.DEMOKRATÉ(předs.V.Železný);23;0.24
2018;3005;Pardubáci společně;1534;9.63
2018;7001;Sdružení pro Pardubice;1290;8.48
2014;1006;PARDUBÁCI,Sdružení ČSR, NK;720;7.96
2014;6006;Koal. pro Pard., KDU-ČSL,NESTR;89;2.68
2006;23;Sdružení pro Pardubice;1950;21.16
2014;1013;Úsvit přímé demokracie;243;2.64
